,latitude,longitude,price,bedrooms,bathrooms,homeType,homeStatus
127,21.405787,-158.03123,926000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
128,21.386406,-157.93924,375000.0,3.0,2.0,CONDO,FOR_SALE
129,21.393827,-158.15266,625000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
130,21.479717,-157.97713,1580000.0,5.0,4.0,SINGLE_FAMILY,FOR_SALE
131,21.322134,-158.02287,780000.0,3.0,3.0,TOWNHOUSE,FOR_SALE
132,21.330732,-158.00935,1550000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
133,21.274765,-157.79735,1250000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
134,21.438946,-157.83293,758000.0,3.0,3.0,TOWNHOUSE,FOR_SALE
135,21.269073,-157.79362,2250000.0,3.0,4.0,SINGLE_FAMILY,FOR_SALE
136,21.280842,-157.79413,975000.0,,,LOT,FOR_SALE
137,21.303635,-157.83763,2150000.0,8.0,5.0,MULTI_FAMILY,FOR_SALE
138,21.301172,-157.70425,1575000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
139,21.28339,-157.83022,380000.0,1.0,1.0,CONDO,FOR_SALE
140,21.339785,-158.01166,920000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
141,21.338276,-157.70038,1190000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
142,21.396492,-157.97557,470000.0,2.0,2.0,CONDO,FOR_SALE
143,21.320198,-158.02287,719999.0,3.0,3.0,TOWNHOUSE,FOR_SALE
144,21.47406,-158.21465,550000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
145,21.39556,-157.93277,700000.0,3.0,2.0,TOWNHOUSE,FOR_SALE
146,21.302551,-157.83237,475000.0,2.0,1.0,CONDO,FOR_SALE
147,21.695807,-157.98204,2500000.0,6.0,4.0,SINGLE_FAMILY,FOR_SALE
148,21.262749,-157.78748,7250000.0,4.0,7.0,SINGLE_FAMILY,FOR_SALE
149,21.299507,-157.67535,1595000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
150,21.284874,-157.7604,2188000.0,5.0,4.0,SINGLE_FAMILY,FOR_SALE
151,21.363688,-157.91956,1288000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
152,21.309116,-157.86362,1285000.0,2.0,2.0,CONDO,FOR_SALE
153,21.264046,-157.70929,3478000.0,7.0,5.0,SINGLE_FAMILY,FOR_SALE
154,21.400427,-157.95007,630000.0,2.0,2.0,TOWNHOUSE,FOR_SALE
155,21.308262,-157.81528,1998000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
156,21.291643,-157.82019,305000.0,0.0,1.0,CONDO,FOR_SALE
157,21.499727,-158.02487,498000.0,,,LOT,FOR_SALE
158,21.460896,-158.00314,1075000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
159,21.414036,-157.7666,1295000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
160,21.314365,-158.02254,749000.0,3.0,3.0,TOWNHOUSE,FOR_SALE
161,21.284998,-157.77032,1425000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
162,21.33629,-158.03247,938000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
163,21.541883,-157.84247,1250000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
164,21.406246,-158.17587,1350000.0,9.0,7.0,SINGLE_FAMILY,FOR_SALE
165,21.279453,-157.82367,380000.0,1.0,1.0,CONDO,FOR_SALE
166,21.356829,-158.02724,465000.0,1.0,1.0,TOWNHOUSE,FOR_SALE
167,21.415342,-157.95729,999000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
168,21.408592,-158.16798,710000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
169,21.309649,-157.79045,1450000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
170,21.28431,-157.81126,1275000.0,5.0,2.0,MULTI_FAMILY,FOR_SALE
171,21.503412,-158.0195,795000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
172,21.319565,-158.00534,1100000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
173,21.396738,-157.92181,1695000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
174,21.315655,-157.85645,319000.0,1.0,1.0,CONDO,FOR_SALE
175,21.322168,-158.0237,753000.0,3.0,3.0,TOWNHOUSE,FOR_SALE
